timestamp,model_file,data_prefix,model_accuracy,tage_accuracy,improvement,test_loss,sample_count
2025-06-07 09:46:55,best_model_G_compress_2_trace_branch_1_samples.pt.pth,G_compress_2_trace_branch_1,86.57,58.77,27.80,0.4199,2428
2025-06-07 09:46:55,best_model_G_compress_2_trace_branch_2_samples.pt.pth,G_compress_2_trace_branch_2,91.84,76.94,14.90,0.2733,1986
2025-06-07 09:46:55,best_model_G_compress_2_trace_branch_3_samples.pt.pth,G_compress_2_trace_branch_3,87.78,81.70,6.08,0.3233,1497
2025-06-07 09:46:55,best_model_G_compress_2_trace_branch_4_samples.pt.pth,G_compress_2_trace_branch_4,90.12,85.72,4.40,0.2310,2815
2025-06-07 09:46:55,best_model_G_fp_2_trace_branch_1_samples.pt.pth,G_fp_2_trace_branch_1,81.23,65.05,16.18,0.4658,6255
2025-06-07 09:46:55,best_model_G_fp_2_trace_branch_2_samples.pt.pth,G_fp_2_trace_branch_2,79.19,77.10,2.09,0.4449,43710
2025-06-07 09:46:55,best_model_G_fp_2_trace_branch_3_samples.pt.pth,G_fp_2_trace_branch_3,82.95,78.20,4.75,0.3761,13292
2025-06-07 09:46:55,best_model_G_fp_2_trace_branch_4_samples.pt.pth,G_fp_2_trace_branch_4,85.30,85.42,-0.12,0.3651,165891
2025-06-07 09:46:55,best_model_G_fp_3_trace_branch_1_samples.pt.pth,G_fp_3_trace_branch_1,99.81,78.12,21.68,0.0363,10505
2025-06-07 09:46:55,best_model_G_fp_3_trace_branch_2_samples.pt.pth,G_fp_3_trace_branch_2,87.53,84.10,3.43,0.3231,11133
2025-06-07 09:46:55,best_model_G_fp_3_trace_branch_3_samples.pt.pth,G_fp_3_trace_branch_3,91.59,89.30,2.28,0.2335,7536
2025-06-07 09:46:55,best_model_G_fp_3_trace_branch_4_samples.pt.pth,G_fp_3_trace_branch_4,85.47,89.82,-4.36,0.3434,50234
2025-06-07 09:46:55,best_model_G_infra_10_trace_branch_1_samples.pt.pth,G_infra_10_trace_branch_1,76.79,51.89,24.90,0.5157,1771
2025-06-07 09:46:55,best_model_G_infra_10_trace_branch_2_samples.pt.pth,G_infra_10_trace_branch_2,66.58,55.81,10.77,0.6047,28598
2025-06-07 09:46:55,best_model_G_infra_10_trace_branch_3_samples.pt.pth,G_infra_10_trace_branch_3,78.36,55.98,22.38,0.5002,3539
2025-06-07 09:46:55,best_model_G_infra_10_trace_branch_4_samples.pt.pth,G_infra_10_trace_branch_4,64.11,56.72,7.40,0.6279,52851
2025-06-07 09:46:55,best_model_G_infra_14_trace_branch_1_samples.pt.pth,G_infra_14_trace_branch_1,77.21,49.57,27.64,0.5236,1751
2025-06-07 09:46:55,best_model_G_infra_14_trace_branch_2_samples.pt.pth,G_infra_14_trace_branch_2,65.86,55.12,10.74,0.6078,29373
2025-06-07 09:46:55,best_model_G_infra_14_trace_branch_3_samples.pt.pth,G_infra_14_trace_branch_3,77.81,56.33,21.48,0.5037,3682
2025-06-07 09:46:55,best_model_G_infra_14_trace_branch_4_samples.pt.pth,G_infra_14_trace_branch_4,63.78,56.63,7.15,0.6291,54723
